# Package: APBGame
#
# Runtime source: live UPackage::NetObjects @ +0x80
# UObject::NetIndex @ +0x24; validated by NetObjects[index] == UObject*
# GlobalNetIndex = Package.ObjectBase + local index
#
# generated 2026-09-03T22:23:19+03:00
# ObjectBase=33506 ObjectCount=30964 NetObjects.Num=30964 CurrentNumNetObjects=29145 nonNull=29145 mismatches=0
# GenerationNetObjectCount=[30964, 30964]
#
# calibration against direct runtime knowledge:
#   APBGame.cAPBPlayerController expected=12772 actual=12772 OK
#   APBGame.Default__cAPBPlayerController expected=12773 actual=12773 OK
#   APBGame.cAPBVehicle expected=13637 actual=13637 OK
#
# index	name

333	m_bForceFadeIn
334	m_bUserCurrentlyInactive
335	m_fUserInactiveTime
336	m_fCurrentInactivityTimeout
337	m_pFocusInteraction
338	m_MainViewportSize
339	m_MainViewportOffset
340	BeginEnsureUIVisible
341	EndEnsureUIVisible
342	ForceFadeIn
343	Idx
344	SplitType
345	SetSplitscreenConfiguration
346	DeltaTime
347	HandleTick
348	Canvas
349	DrawTransition
350	VSize
351	vOffset
352	SetMainViewport
353	ReturnValue
354	GetNumCustomInteractions
355	ReturnValue
356	InIndex
357	GetCustomInteractionClass
358	InInteraction
359	SetCustomInteractionObject
360	i_fDeltaTime
361	UpdateInactivityFade
362	DeltaTime
363	Tick
364	APBGameViewportClient
365	Default__APBGameViewportClient
366	Distributions
367	FloatFoldOp
368	ThresholdToZero
369	InitialValue
370	FoldOperation
371	Distributions
372	APBParticleFoldFloat
373	Default__APBParticleFoldFloat
374	Distributions
375	VectorFoldOp
376	ThresholdToZero
377	InitialValue
378	FoldOperation
379	Distributions
380	APBParticleFoldVector
381	Default__APBParticleFoldVector
382	m_offsetPath
383	m_offsetPath
384	m_lastUpdateValue
385	m_lastUpdateTime
386	<NULL>
387	ClampMaximum
388	ClampMinimum
389	PropertyScale
390	PropertyBias
391	bClampToRange
392	bAbsoluteOnly
393	m_parentPropertyType
394	ParentProperty
395	APBParticleParameterFloat
396	Default__APBParticleParameterFloat
397	m_offsetPath
398	m_offsetPath
399	m_lastUpdateValue
400	m_lastUpdateTime
401	<NULL>
402	ClampMaximum
403	ClampMinimum
404	PropertyScale
405	PropertyBias
406	bClampToRange
407	bAbsoluteOnly
408	m_parentPropertyType
