107	APBGame.cSDD.etDisplayPointActivationType	Enum	0x072ADFF8
108	APBGame.cSDD.etDisplayPointType	Enum	0x072AE048
109	APBGame.cSDD.District_None	Const	0x072AE098
110	APBGame.cSDD.etEncumbrance	Enum	0x072AE0E8
111	APBGame.cSDD.Equipment_Equipment__None	Const	0x072AE138
112	APBGame.cSDD.etErrorCode	Enum	0x072AE188
113	APBGame.cSDD.etFacialHairRandomGeneration	Enum	0x072AE1D8
114	APBGame.cSDD.etFaction	Enum	0x072AE228
115	APBGame.cSDD.etFeedbackMessage	Enum	0x072AE278
116	APBGame.cSDD.etFireOffset	Enum	0x072AE2C8
117	APBGame.cSDD.etFormulaOperation	Enum	0x072AE318
118	APBGame.cSDD.etFXMaterialImpact	Enum	0x072AE368
119	APBGame.cSDD.etGameplayEventMutuallyExclusiveGroup	Enum	0x072AE3B8
120	APBGame.cSDD.etGenericVFXEvent	Enum	0x072AE408
121	APBGame.cSDD.GolemPartClass_None	Const	0x072AE458
122	APBGame.cSDD.etGraffitiInteractionType	Enum	0x072AE4A8
123	APBGame.cSDD.HeatActionAffect_None	Const	0x072AE4F8
124	APBGame.cSDD.HeatActionAffect_EndMission	Const	0x072AE548
125	APBGame.cSDD.HeatActionAffect_StartMissionAsOwner	Const	0x072AE598
126	APBGame.cSDD.etHeatConstant	Enum	0x072AE5E8
127	APBGame.cSDD.etHeatFunctionality	Enum	0x072AE638
128	APBGame.cSDD.HeatLevel_None	Const	0x072AE688
129	APBGame.cSDD.etHostingConfigFileAccountPersistentId	Enum	0x072AE6D8
130	APBGame.cSDD.etHostingConfigFileCharacterPersistentId	Enum	0x072AE728
131	APBGame.cSDD.etHUDCeremonyMsgType	Enum	0x072AE778
132	APBGame.cSDD.HUDColour_None	Const	0x072AE7C8
133	APBGame.cSDD.etHUDConstant	Enum	0x072AE818
134	APBGame.cSDD.etHUDConstantBool	Enum	0x072AE868
135	APBGame.cSDD.DMM_None	Const	0x072AE8B8
136	APBGame.cSDD.HUDIcon_None	Const	0x072AE908
137	APBGame.cSDD.etHUDInfoBrowser	Enum	0x072AE958
138	APBGame.cSDD.etHUDMarkerCategory	Enum	0x072AE9A8
139	APBGame.cSDD.HUDMarkerOffset_None	Const	0x072AE9F8
140	APBGame.cSDD.HUDMarkerOffset_UseAutoRouteLocation	Const	0x072AEA48
141	APBGame.cSDD.etHUDMarkerState	Enum	0x072AEA98
142	APBGame.cSDD.etHUDMarkerUsage	Enum	0x072AEAE8
143	APBGame.cSDD.etHUDMessageRank	Enum	0x072AEB38
144	APBGame.cSDD.etHUDMessageType	Enum	0x072AEB88
145	APBGame.cSDD.etHUDPopUpItemRule	Enum	0x072AEBD8
146	APBGame.cSDD.etHUDReticule	Enum	0x072AEC28
147	APBGame.cSDD.HUDTaskMarker_None	Const	0x072AEC78
148	APBGame.cSDD.HUDTextureIcon_None	Const	0x072AECC8
149	APBGame.cSDD.etHUDWSCharInfo	Enum	0x072AED18
150	APBGame.cSDD.etHUDZoneNotifier	Enum	0x072AED68
151	APBGame.cSDD.etInteractiveActorCategory	Enum	0x072AEDB8
152	APBGame.cSDD.etInteractiveActorType	Enum	0x072AEE08
153	APBGame.cSDD.etInventoryItemCategory	Enum	0x072AEE58
154	APBGame.cSDD.etInventoryItemCategoryLimited	Enum	0x072AEEA8
155	APBGame.cSDD.InventoryItemInfraCategory_None	Const	0x072AEEF8
156	APBGame.cSDD.InventoryItemInfraCategory_MarketplaceCash	Const	0x072AEF48
157	APBGame.cSDD.etInventoryItemSubCategory	Enum	0x072AEF98
158	APBGame.cSDD.InventoryItemType_None	Const	0x072AEFE8
159	APBGame.cSDD.InventoryItemType_Equipment__None	Const	0x072AF038
160	APBGame.cSDD.InventoryItemType_Mod_None	Const	0x072AF088
161	APBGame.cSDD.InventoryItemType_Mod_Vacant	Const	0x072AF0D8
162	APBGame.cSDD.InventoryItemType_Reward_GenericReward	Const	0x072AF128
163	APBGame.cSDD.InventoryItemType_Reward_LeagueReward	Const	0x072AF178
164	APBGame.cSDD.InventoryItemType_Reward_RedemptionKeyReward	Const	0x072AF1C8
165	APBGame.cSDD.InventoryItemType_Token_DisplayPoint	Const	0x072AF218
166	APBGame.cSDD.etLoadingMovieTransitionType	Enum	0x072AF268
167	APBGame.cSDD.etLoadingScreenHintDomain	Enum	0x072AF2B8
168	APBGame.cSDD.etLocaleTypePriority	Enum	0x072AF308
169	APBGame.cSDD.etMailConstant	Enum	0x072AF358
170	APBGame.cSDD.etMailDetach	Enum	0x072AF3A8
171	APBGame.cSDD.etMailDuration	Enum	0x072AF3F8
172	APBGame.cSDD.etMailInfo	Enum	0x072AF448
173	APBGame.cSDD.etMailSort	Enum	0x072AF498
174	APBGame.cSDD.etMarketplaceAuctionType	Enum	0x072AF4E8
175	APBGame.cSDD.etMarketplaceCashType	Enum	0x072AF538
176	APBGame.cSDD.etMarketplaceConstant	Enum	0x072AF588
177	APBGame.cSDD.etMarketplaceDuration	Enum	0x072AF5D8
178	APBGame.cSDD.etMarketplaceInfo	Enum	0x072AF628
179	APBGame.cSDD.etMarketplaceListType	Enum	0x072AF678
180	APBGame.cSDD.etMarketplaceSearch	Enum	0x072AF6C8
181	APBGame.cSDD.etMarketplaceSort	Enum	0x072AF718
182	APBGame.cSDD.etMarketplaceTimeLeft	Enum	0x072AF768
183	APBGame.cSDD.etMissionCriminalDispatchTypes	Enum	0x072AF7B8
184	APBGame.cSDD.etMissionEnforcerDispatchTypes	Enum	0x072AF808
185	APBGame.cSDD.Any	Const	0x072AF858
186	APBGame.cSDD.etMissionResultReason	Enum	0x072AF8A8
187	APBGame.cSDD.MissionUIMissionTemplateProfile_None	Const	0x072AF8F8
188	APBGame.cSDD.etMissionUITrackedValue	Enum	0x072AF948
189	APBGame.cSDD.etMissionUITrackedValueDisplay	Enum	0x072AF998
190	APBGame.cSDD.etModifierClass	Enum	0x072AF9E8
191	APBGame.cSDD.etModifierEffectType	Enum	0x072AFA38
192	APBGame.cSDD.Modifier_Mod_None	Const	0x072AFA88
193	APBGame.cSDD.Modifier_Mod_Vacant	Const	0x072AFAD8
194	APBGame.cSDD.etModifierStackingSlot	Enum	0x072AFB28
195	APBGame.cSDD.etModifierType	Enum	0x072AFB78
196	APBGame.cSDD.etNameQuery	Enum	0x072AFBC8
197	APBGame.cSDD.NotorietyEffect_None	Const	0x072AFC18
198	APBGame.cSDD.NotorietyLevel_None	Const	0x072AFC68
199	APBGame.cSDD.etNPCCategory	Enum	0x072AFCB8
200	APBGame.cSDD.etNPCEvent	Enum	0x072AFD08
201	APBGame.cSDD.etNPCReaction	Enum	0x072AFD58
202	APBGame.cSDD.etNPCWorldEvent	Enum	0x072AFDA8
203	APBGame.cSDD.etOnFootDeathAnimation	Enum	0x072ACD80
204	APBGame.cSDD.etOpenWorldConstant	Enum	0x072ACD30
205	APBGame.cSDD.OpenWorldOperation_None	Const	0x072AFDF8
206	APBGame.cSDD.etOrganisation	Enum	0x072AFE48
207	APBGame.cSDD.etPawnHitReaction_BoneList	Enum	0x072AFE98
